DATE,Men,Women,,,,
1/1/19,66.5,55.2,0,0,0,0
2/1/19,66.5,55.3,0,0,0,0
3/1/19,66.4,55.2,0,0,0,0
4/1/19,66.3,55.2,0,0,0,0
5/1/19,66.5,55.1,0,0,0,0
6/1/19,66.5,55.2,0,0,0,0
7/1/19,66.7,55.1,0,0,0,0
8/1/19,66.6,55.5,0,0,0,0
9/1/19,66.7,55.6,0,0,0,0
10/1/19,66.7,55.7,0,0,0,0
11/1/19,66.8,55.5,0,0,0,0
12/1/19,66.8,55.7,0,0,0,0
1/1/20,66.9,55.8,0,0,0,0
2/1/20,66.8,55.9,0,0,0,0
3/1/20,65.6,54.7,0,0,0,0
4/1/20,57.2,45.8,0,0,0,0
5/1/20,58.6,47.3,0,0,0,0
6/1/20,60.1,49.5,0,0,0,0
7/1/20,60.5,50.1,0,0,0,0
8/1/20,62.1,51.3,0,0,0,0
9/1/20,62.4,51.2,0,0,0,0
