date,,male_under_five,male_five_twelve,male_thirteen_seventeen,female_under_five,female_five_twelve,female_thirteen_seventeen
1/1/19,0,91.57725052,90.50517588,87.72150546,62.70779373,72.85538513,74.95622707
2/1/19,0,92.238984,90.92097953,87.76568096,62.17158923,72.7497822,76.04323568
3/1/19,0,92.36918411,90.28632948,87.57011699,62.14319349,73.08696712,74.49255481
4/1/19,0,92.65377681,91.20051756,88.12147349,61.71527826,73.54159123,74.68603456
5/1/19,0,93.50891672,91.44881426,88.47538113,62.24786607,73.77989434,74.87686265
6/1/19,0,92.8242114,90.95811964,88.63862481,63.45453531,72.6034313,73.9268463
7/1/19,0,92.88351057,90.88146419,88.25177416,61.94668559,71.88845713,73.59038481
8/1/19,0,92.89956592,90.97511207,87.85790809,63.13043789,72.67959006,75.17131883
9/1/19,0,93.36817833,91.2720136,89.33561122,64.27972948,74.73391051,76.08878324
10/1/19,0,93.70510311,91.22875887,88.12729268,64.0423587,75.89493,75.57465326
11/1/19,0,93.71269584,91.34435858,88.23272977,65.12200117,75.01379853,75.64460239
12/1/19,0,93.36081759,90.82917232,88.5948692,65.48899052,75.04125414,75.10316432
1/1/20,0,92.35460942,89.9746924,88.24552105,64.09379662,73.49768469,76.87694011
2/1/20,0,91.35487127,89.83215374,88.28109838,63.8138172,74.01381483,75.97899142
3/1/20,0,90.83714387,89.1222398,88.00369533,62.1954739,72.70191876,75.37705303
4/1/20,0,81.81945489,81.2588432,80.9942214,53.9762336,61.77581891,65.45372547
5/1/20,0,83.9267069,84.31810096,81.48137671,54.99301895,64.09827894,67.97716167
6/1/20,0,85.9242042,86.00487608,84.7995467,58.58336042,65.86146001,69.15371681
7/1/20,0,85.77059456,86.24768233,84.36621691,60.19207514,65.90272401,69.83962798
8/1/20,0,87.59770199,87.06861035,84.68199886,60.9393674,67.11716722,70.06888635
9/1/20,0,87.6244827,86.88778905,85.79948444,59.55369907,68.2048518,70.44531333
