DATE,IA sales price,DATE,Mortgage rate,DATE,Monthly payment,DATE,Monthly payment,DATE,Total interest
1/1/81,207494.0182,1/1/81,15.1269231,1/1/81,2351.636252,1/1/81,"2,380",1/1/81,"670,144"
4/1/81,211167.4749,4/1/81,16.2392308,4/1/81,2516.69934,4/1/81,"2,592",4/1/81,"743,219"
7/1/81,204853.75,7/1/81,17.38,7/1/81,2687.350899,7/1/81,"2,685",7/1/81,"782,388"
10/1/81,205072.2218,10/1/81,17.7357143,10/1/81,2740.798606,10/1/81,"2,742",10/1/81,"802,470"
1/1/82,191716.5469,1/1/82,17.4141667,1/1/82,2692.480145,1/1/82,"2,518",1/1/82,"733,940"
4/1/82,198094.0743,4/1/82,16.7661538,4/1/82,2595.37071,4/1/82,"2,508",4/1/82,"724,573"
7/1/82,193873.1973,7/1/82,16.2215385,7/1/82,2514.062752,7/1/82,"2,378",7/1/82,"681,453"
10/1/82,199694.0572,10/1/82,14.0328571,10/1/82,2190.887508,10/1/82,"2,134",10/1/82,"588,581"
1/1/83,204296.3248,1/1/83,13.03,1/1/83,2045.265316,1/1/83,"2,038",1/1/83,"549,901"
4/1/83,206369.1443,4/1/83,12.7630769,4/1/83,2006.828294,4/1/83,"2,020",4/1/83,"541,551"
7/1/83,211197.8721,7/1/83,13.6414286,7/1/83,2133.833933,7/1/83,"2,198",7/1/83,"601,327"
10/1/83,205056.3749,10/1/83,13.46,10/1/83,2107.480348,10/1/83,"2,108",10/1/83,"574,351"
1/1/84,208316.8173,1/1/84,13.3330769,1/1/84,2089.079798,1/1/84,"2,123",1/1/84,"576,752"
4/1/84,212968.7295,4/1/84,14.0353846,4/1/84,2191.25675,4/1/84,"2,276",4/1/84,"627,845"
7/1/84,211917.6724,7/1/84,14.4938462,7/1/84,2258.402195,7/1/84,"2,335",7/1/84,"649,734"
10/1/84,207253.1133,10/1/84,13.6484615,10/1/84,2134.856692,10/1/84,"2,158",10/1/84,"590,468"
1/1/85,212821.7127,1/1/85,13.0638462,1/1/85,2050.149441,1/1/85,"2,128",1/1/85,"574,674"
4/1/85,214723.9182,4/1/85,12.7853846,4/1/85,2010.035017,4/1/85,"2,105",4/1/85,"564,685"
7/1/85,210612.6908,7/1/85,12.1407692,7/1/85,1917.805808,7/1/85,"1,970",7/1/85,"519,761"
10/1/85,217508.3242,10/1/85,11.7307692,10/1/85,1859.642003,10/1/85,"1,973",10/1/85,"514,562"
1/1/86,219374.8707,1/1/86,10.5838462,1/1/86,1699.270288,1/1/86,"1,818",1/1/86,"457,196"
4/1/86,230718.8062,4/1/86,10.2461538,4/1/86,1652.779393,4/1/86,"1,860",4/1/86,"462,001"
7/1/86,231557.5661,7/1/86,10.2353846,7/1/86,1651.302671,7/1/86,"1,865",7/1/86,"463,080"
10/1/86,234895.6699,10/1/86,9.68384615,10/1/86,1576.184118,10/1/86,"1,806",10/1/86,"438,769"
1/1/87,239179.274,1/1/87,9.11461538,1/1/87,1499.769511,1/1/87,"1,750",1/1/87,"414,675"
4/1/87,249786.2942,4/1/87,10.3430769,4/1/87,1666.086549,4/1/87,"2,030",4/1/87,"506,020"
7/1/87,253378.0338,7/1/87,10.4815385,7/1/87,1685.147988,7/1/87,"2,083",7/1/87,"521,777"
